Atoms: 32, CPU: 5.00%, Memory: 6581.15 MB, GPU: 0.00%
Atoms: 32, CPU: 5.40%, Memory: 6582.53 MB, GPU: 0.00%
Atoms: 32, CPU: 5.60%, Memory: 6574.98 MB, GPU: 0.00%
Atoms: 32, CPU: 6.60%, Memory: 6567.62 MB, GPU: 0.00%
Atoms: 0, CPU: 12.10%, Memory: 7044.46 MB, GPU: 0.00%
Atoms: 0, CPU: 11.80%, Memory: 7055.40 MB, GPU: 0.00%
Atoms: 0, CPU: 11.20%, Memory: 7052.11 MB, GPU: 0.00%
Atoms: 0, CPU: 8.70%, Memory: 7050.27 MB, GPU: 0.00%
Atoms: 0, CPU: 4.00%, Memory: 7047.54 MB, GPU: 0.00%
Atoms: 0, CPU: 9.70%, Memory: 7051.63 MB, GPU: 0.00%
Atoms: 0, CPU: 5.10%, Memory: 7049.61 MB, GPU: 0.00%
Atoms: 0, CPU: 7.80%, Memory: 7051.77 MB, GPU: 0.00%
Atoms: 1, CPU: 4.30%, Memory: 7052.45 MB, GPU: 0.00%
Atoms: 1, CPU: 4.60%, Memory: 7051.72 MB, GPU: 0.00%
Atoms: 1, CPU: 4.20%, Memory: 7050.03 MB, GPU: 0.00%
Atoms: 2, CPU: 4.40%, Memory: 7050.11 MB, GPU: 0.00%
Atoms: 4, CPU: 5.60%, Memory: 7050.15 MB, GPU: 0.00%
Atoms: 6, CPU: 5.60%, Memory: 7057.73 MB, GPU: 0.00%
Atoms: 8, CPU: 4.60%, Memory: 7051.66 MB, GPU: 0.00%
Atoms: 10, CPU: 4.50%, Memory: 7051.29 MB, GPU: 0.00%
Atoms: 11, CPU: 6.50%, Memory: 7053.82 MB, GPU: 0.00%
Atoms: 11, CPU: 5.70%, Memory: 7053.22 MB, GPU: 0.00%
Atoms: 11, CPU: 6.80%, Memory: 7054.06 MB, GPU: 0.00%
Atoms: 11, CPU: 3.40%, Memory: 7047.16 MB, GPU: 0.00%
Atoms: 11, CPU: 3.20%, Memory: 7047.97 MB, GPU: 0.00%
Atoms: 11, CPU: 4.50%, Memory: 7048.69 MB, GPU: 0.00%
Atoms: 11, CPU: 17.30%, Memory: 7052.68 MB, GPU: 0.00%
Atoms: 11, CPU: 5.20%, Memory: 7055.69 MB, GPU: 0.00%
Atoms: 11, CPU: 5.50%, Memory: 7053.81 MB, GPU: 0.00%
Atoms: 11, CPU: 5.50%, Memory: 7055.65 MB, GPU: 0.00%
Atoms: 11, CPU: 5.50%, Memory: 7051.33 MB, GPU: 0.00%
Atoms: 11, CPU: 5.70%, Memory: 7058.60 MB, GPU: 0.00%
Atoms: 11, CPU: 20.20%, Memory: 7062.68 MB, GPU: 0.00%
Atoms: 11, CPU: 4.90%, Memory: 7065.30 MB, GPU: 0.00%
Atoms: 11, CPU: 5.40%, Memory: 7066.11 MB, GPU: 0.00%
Atoms: 11, CPU: 7.90%, Memory: 7071.04 MB, GPU: 0.00%
Atoms: 11, CPU: 8.50%, Memory: 7078.72 MB, GPU: 0.00%
Atoms: 13, CPU: 5.10%, Memory: 7078.37 MB, GPU: 0.00%
Atoms: 13, CPU: 6.20%, Memory: 7074.91 MB, GPU: 0.00%
Atoms: 13, CPU: 6.30%, Memory: 7072.37 MB, GPU: 0.00%
Atoms: 13, CPU: 3.80%, Memory: 7070.17 MB, GPU: 0.00%
Atoms: 13, CPU: 3.90%, Memory: 7065.82 MB, GPU: 0.00%
Atoms: 13, CPU: 1.20%, Memory: 7068.87 MB, GPU: 0.00%
Atoms: 13, CPU: 5.40%, Memory: 7067.27 MB, GPU: 0.00%
Atoms: 14, CPU: 4.10%, Memory: 7063.94 MB, GPU: 0.00%
Atoms: 14, CPU: 4.90%, Memory: 7061.55 MB, GPU: 0.00%
Atoms: 15, CPU: 4.50%, Memory: 7066.08 MB, GPU: 0.00%
Atoms: 15, CPU: 2.20%, Memory: 7069.37 MB, GPU: 0.00%
Atoms: 15, CPU: 5.20%, Memory: 7063.83 MB, GPU: 0.00%
Atoms: 16, CPU: 5.20%, Memory: 7059.62 MB, GPU: 0.00%
Atoms: 17, CPU: 4.20%, Memory: 7065.95 MB, GPU: 0.00%
Atoms: 18, CPU: 7.20%, Memory: 7061.60 MB, GPU: 0.00%
Atoms: 18, CPU: 3.90%, Memory: 7062.96 MB, GPU: 0.00%
Atoms: 18, CPU: 5.80%, Memory: 7061.22 MB, GPU: 0.00%
Atoms: 21, CPU: 4.20%, Memory: 7055.18 MB, GPU: 0.00%
Atoms: 23, CPU: 5.60%, Memory: 7060.80 MB, GPU: 0.00%
Atoms: 24, CPU: 5.40%, Memory: 7056.47 MB, GPU: 0.00%
Atoms: 26, CPU: 7.00%, Memory: 7054.37 MB, GPU: 0.00%
Atoms: 28, CPU: 4.60%, Memory: 7055.56 MB, GPU: 0.00%
Atoms: 29, CPU: 5.40%, Memory: 7054.40 MB, GPU: 0.00%
Atoms: 30, CPU: 3.20%, Memory: 7057.36 MB, GPU: 0.00%
Atoms: 30, CPU: 3.20%, Memory: 7064.09 MB, GPU: 0.00%
Atoms: 30, CPU: 3.70%, Memory: 7062.68 MB, GPU: 0.00%
Atoms: 30, CPU: 1.50%, Memory: 7064.92 MB, GPU: 0.00%
Atoms: 30, CPU: 6.50%, Memory: 7065.64 MB, GPU: 0.00%
